INPUT NAME,DESIRED STYLED NAME
Bernard Sanders,Bernie Sanders
Joseph R Jr Biden,Joe Biden
Robert Beto O'rourke,Beto O'Rourke
Joe Edward Iii Collins,"Joe Edward Collins, III"
Richard Neece Ii Ojeda,"Richard Ojeda, II"
John R Jr Phillips,"John R Phillips, Jr."
Andrew Mr. Yang,Andrew Yang
Donald J. Trump,Donald Trump
John K. Delaney,John Delaney
Kamala D. Harris,Kamala Harris
Amy J. Klobuchar,Amy Klobuchar
Cory A. Booker,Cory Booker
Roque Rocky De  La  Fuente,Rocky De La Fuente
Jay R Inslee,Jay Inslee
Michael F. Bennet,Michael Bennet
John W. Hickenlooper,John Hickenlooper
